Player;Team;Position;16/17 Cap Hit;17/18 Cap Hit;16/17 Salary;17/18 Salary;18/19 Salary;19/20 Salary;20/21 Salary
Staal, Eric;MIN;Center;3.500;3.500;3.500;3.500;3.500;UFA;
Smith, Reilly;FLA;Right;3.425;5.000;3.500;6.000;6.000;5.000;3.500
Dubois, Pierre-Luc;CLB;Center;3.425;3.425;0.925;0.925;0.925;RFA;
Puljujarvi, Jesse;EDM;Right;3.425;3.425;0.925;0.925;0.925;RFA;
Draisaitl, Leon;EDM;Center;3.400;0.000;0.925;RFA;;;
Reimer, James;FLA;Goaltender;3.400;3.400;4.500;3.200;3.100;3.100;3.100
Strome, Dylan;ARI;Center;3.369;3.369;0.925;0.925;0.833;RFA;
Cizikas, Casey;NYI;Center;3.350;3.350;2.500;3.000;3.500;3.750;4.000
Gudas, Radko;PHI;Defence;3.350;3.350;4.000;3.500;3.400;2.500;UFA
Johnson, Tyler;TBL;Center;3.333;0.000;4.000;RFA;;;
Palat, Ondrej;TBL;Left;3.333;0.000;4.000;RFA;;;
McGinn, Jamie;ARI;Left;3.333;3.333;3.000;3.500;3.500;UFA;
Franson, Cody;BUF;Defence;3.325;0.000;3.325;UFA;;;
Ward, Cam;CAR;Goaltender;3.300;3.300;3.500;3.100;UFA;;
Bailey, Josh;NYI;Center;3.300;3.300;3.700;4.000;UFA;;
Daley, Trevor;PIT;Defence;3.300;0.000;2.700;UFA;;;
Ward, Joel;SJS;Right;3.275;3.275;3.275;3.275;UFA;;
Dillon, Brenden;SJS;Defence;3.270;3.270;2.750;3.400;3.900;3.900;UFA
Ference, Andrew;EDM;Defence;3.250;0.000;3.250;UFA;;;
Vrbata, Radim;ARI;Right;3.250;0.000;1.000;UFA;;;
Huberdeau, Jonathan;FLA;Center;3.250;5.900;4.000;6.200;6.200;6.200;5.300
Stoner, Clayton;ANA;Defence;3.250;3.250;3.250;3.250;UFA;;
Williams, Justin;WAS;Right;3.250;0.000;3.250;UFA;;;
Toffoli, Tyler;LAK;Center;3.250;0.000;3.900;RFA;;;
Reinhart, Griffin;EDM;Defence;3.213;0.000;0.833;RFA;;;
Coyle, Charlie;MIN;Center;3.200;3.200;2.600;3.500;3.750;4.250;UFA
Michalek, Zbynek;ARI;Defence;3.200;0.000;3.200;UFA;;;
Michalek, Zbynek;ARI;Defence;3.200;0.000;3.200;UFA;;;
Drouin, Jonathan;TBL;Left;3.194;0.000;0.833;RFA;;;
Bennett, Sam;CGY;Center;3.194;3.194;0.925;0.833;RFA;;
Stajan, Matt;CGY;Center;3.125;3.125;3.000;2.500;UFA;;
Hanzal, Martin;ARI;Center;3.100;0.000;3.500;UFA;;;
Russell, Kris;EDM;Defence;3.100;0.000;3.100;UFA;;;
Kruger, Marcus;CHI;Center;3.083;3.083;3.475;3.475;2.300;UFA;
15/16 Cap Overage;CHI;Left;3.070;0.000;3.070;;;;
Dal Colle, Michael;NYI;Left;3.063;3.063;0.925;0.833;0.833;RFA;
Hertl, Tomas;SJS;Center;3.000;3.000;2.800;3.200;RFA;;
Cogliano, Andrew;ANA;Center;3.000;3.000;3.100;3.300;UFA;;
Perreault, Mathieu;WPG;Center;3.000;4.125;3.000;4.500;4.000;4.000;4.000
Granlund, Mikael;MIN;Center;3.000;0.000;3.200;RFA;;;
Jones, Martin;SJS;Goaltender;3.000;3.000;3.000;3.000;UFA;;
Trouba, Jacob;WPG;Defence;3.000;3.000;2.500;3.500;RFA;;
Robidas, Stephane;TOR;Defence;3.000;0.000;2.000;UFA;;;
Kuznetsov, Evgeny;WAS;Center;3.000;0.000;3.400;RFA;;;
Komarov, Leo;TOR;Center;2.950;2.950;2.950;2.950;UFA;;
Demko, Thatcher;VAN;Goaltender;2.942;2.942;0.925;0.925;0.925;RFA;
Engelland, Deryk;CGY;Defence;2.917;0.000;2.750;UFA;;;
Gunnarsson, Carl;STL;Defence;2.900;2.900;2.900;2.900;2.900;UFA;
Jenner, Boone;CLB;Center;2.900;2.900;2.900;2.900;RFA;;
Klein, Kevin;NYR;Defence;2.900;2.900;2.750;2.750;UFA;;
Hainsey, Ron;CAR;Defence;2.833;0.000;2.500;UFA;;;
Alzner, Karl;WAS;Defence;2.800;0.000;2.800;UFA;;;
Galchenyuk, Alex;MTL;Center;2.800;0.000;3.100;RFA;;;
Ceci, Cody;OTT;Defence;2.800;2.800;2.250;3.350;RFA;;
Desharnais, David;EDM;Center;2.800;0.000;3.500;UFA;;;
Clutterbuck, Cal;NYI;Right;2.750;3.500;3.500;5.000;4.000;3.500;2.500
Lack, Eddie;CAR;Goaltender;2.750;2.750;2.500;3.000;UFA;;
McQuaid, Adam;BOS;Defence;2.750;2.750;3.000;3.000;2.000;UFA;
Tatar, Tomas;DET;Center;2.750;0.000;2.750;RFA;;;
Smith, Brendan;DET;Defence;2.750;0.000;3.250;UFA;;;
Smith, Brendan;NYR;Defence;2.750;0.000;3.250;UFA;;;
Sobotka, Vladimir;STL;Center;2.725;0.000;2.725;UFA;;;
Lindholm, Elias;CAR;Center;2.700;2.700;2.500;2.900;RFA;;
Niederreiter, Nino;MIN;Right;2.667;0.000;3.500;RFA;;;
Lovejoy, Ben;NJD;Defence;2.667;2.667;2.500;2.750;2.750;UFA;
Iginla, Jarome;LAK;Right;2.667;0.000;5.000;UFA;;;
Iginla, Jarome;COL;Right;2.667;0.000;2.667;;;;
Dorsett, Derek;VAN;Right;2.650;2.650;2.500;2.500;2.500;UFA;
Greening, Colin;TOR;Center;2.650;0.000;3.200;UFA;;;
Greening, Colin;TOR;Center;2.650;0.000;3.200;UFA;;;
Stuart, Mark;WPG;Defence;2.625;2.625;2.700;1.750;UFA;;
Zibanejad, Mika;NYR;Center;2.625;0.000;3.250;RFA;;;
Miller, J.T.;NYR;Center;2.625;2.625;2.500;2.750;RFA;;
Streit, Mark;TBL;Defence;2.625;0.000;2.625;;;;
Hayes, Kevin;NYR;Right;2.600;2.600;2.600;2.600;RFA;;
Vanek, Thomas;DET;Left;2.600;0.000;2.600;UFA;;;
Shattenkirk, Kevin;WAS;Defence;2.592;0.000;5.200;UFA;;;
Orlov, Dmitry;WAS;Defence;2.570;0.000;2.570;RFA;;;
Dumba, Mathew;MIN;Defence;2.550;2.550;2.350;2.750;RFA;;
Greene, Matt;LAK;Defence;2.500;2.500;2.500;2.500;UFA;;
Hansen, Jannik;VAN;Right;2.500;2.500;3.000;3.000;UFA;;
Martin, Matt;TOR;Left;2.500;2.500;3.500;2.500;2.250;1.750;UFA
Elliott, Brian;CGY;Goaltender;2.500;0.000;2.700;UFA;;;
Colborne, Joe;COL;Center;2.500;2.500;2.500;2.500;UFA;;
Strome, Ryan;NYI;Center;2.500;2.500;2.000;3.000;RFA;;
Ellis, Ryan;NAS;Defence;2.500;2.500;2.500;3.000;3.500;UFA;
Miller, Kevan;BOS;Defence;2.500;2.500;2.500;2.500;2.500;2.500;UFA
Nelson, Brock;NYI;Center;2.500;2.500;2.500;3.500;RFA;;
Yakupov, Nail;STL;Right;2.500;0.000;2.500;RFA;;;
Stempniak, Lee;CAR;Right;2.500;2.500;2.500;2.500;UFA;;
Hansen, Jannik;SJS;Right;2.500;2.500;3.000;3.000;UFA;;
Wingels, Tommy;SJS;Center;2.475;0.000;2.600;UFA;;;
Comeau, Blake;COL;Right;2.400;2.400;2.400;2.400;UFA;;
Streit, Mark;PIT;Defence;2.378;0.000;4.000;UFA;;;
Raffl, Michael;PHI;Left;2.350;2.350;2.350;2.350;2.350;UFA;
Allen, Jake;STL;Goaltender;2.350;4.350;2.500;3.850;4.350;5.200;4.000
Weise, Dale;PHI;Right;2.350;2.350;2.750;2.550;2.350;1.750;UFA
Semin, Alexander;CAR;Left;2.333;2.333;2.333;2.333;2.333;2.333;2.333
Gibson, John;ANA;Goaltender;2.300;2.300;1.500;2.100;3.300;RFA;
Hayes, Jimmy;BOS;Right;2.300;2.300;2.300;2.600;UFA;;
Murray, Ryan;CLB;Defence;2.285;2.285;2.285;2.285;RFA;;
Campbell, Brian;CHI;Defence;2.250;0.000;1.500;UFA;;;
Chimera, Jason;NYI;Left;2.250;2.250;2.000;2.500;UFA;;
Foligno, Marcus;BUF;Left;2.250;0.000;2.250;RFA;;;
Schultz, Nick;PHI;Defence;2.250;0.000;2.250;UFA;;;
Polak, Roman;TOR;Defence;2.250;0.000;2.250;UFA;;;
Winnik, Daniel;WAS;Center;2.250;0.000;1.800;UFA;;;
Rieder, Tobias;ARI;Center;2.225;2.225;2.000;2.450;RFA;;
Lehner, Robin;BUF;Goaltender;2.225;0.000;3.150;RFA;;;
Calvert, Matt;CLB;Left;2.200;2.200;2.200;2.900;UFA;;
Bouma, Lance;CGY;Center;2.200;2.200;2.200;2.300;UFA;;
Hickey, Thomas;NYI;Defence;2.200;2.200;2.250;3.100;UFA;;
Matthias, Shawn;WPG;Center;2.125;2.125;2.125;2.125;UFA;;
Schlemko, David;SJS;Defence;2.100;2.100;2.500;2.250;1.850;1.800;UFA
Cole, Ian;PIT;Defence;2.100;2.100;2.300;2.500;UFA;;
Richardson, Brad;ARI;Center;2.083;2.083;2.250;2.250;UFA;;
Sheahan, Riley;DET;Center;2.075;2.075;2.075;2.075;RFA;;
Kindl, Jakub;FLA;Defence;2.040;0.000;3.000;UFA;;;
Reilly, Mike;MIN;Defence;2.025;0.000;0.925;RFA;;;
Stone, Michael;CGY;Defence;2.000;0.000;4.000;UFA;;;
Fehr, Eric;PIT;Center;2.000;2.000;2.000;2.000;UFA;;
Boyle, Brian;TBL;Center;2.000;0.000;2.000;UFA;;;
Roussel, Antoine;DAL;Left;2.000;2.000;2.200;2.400;UFA;;
Lewis, Trevor;LAK;Center;2.000;2.000;2.000;2.000;2.000;2.000;UFA
Jarnkrok, Calle;NAS;Center;2.000;2.000;1.700;1.800;2.100;2.200;2.200
Zucker, Jason;MIN;Left;2.000;2.000;2.000;2.000;RFA;;
Wilson, Tom;WAS;Right;2.000;2.000;1.750;2.250;RFA;;
Boyle, Brian;TOR;Center;2.000;0.000;2.000;UFA;;;
Tyutin, Fedor;COL;Defence;2.000;0.000;2.000;UFA;;;
Stone, Michael;ARI;Defence;2.000;0.000;2.000;;;;
Hudler, Jiri;DAL;Center;2.000;0.000;2.000;UFA;;;
Liles, John-Michael;BOS;Defence;2.000;0.000;2.000;UFA;;;
Fehr, Eric;TOR;Center;2.000;2.000;2.000;2.000;UFA;;
Juolevi, Olli;VAN;Defence;1.975;1.975;0.925;0.925;0.925;RFA;
de Haan, Calvin;NYI;Defence;1.967;0.000;2.500;RFA;;;
King, Dwight;LAK;Left;1.950;0.000;2.100;UFA;;;
King, Dwight;MTL;Left;1.950;0.000;2.100;UFA;;;
Namestnikov, Vladislav;TBL;Center;1.938;1.938;1.900;1.975;RFA;;
Bonino, Nick;PIT;Center;1.900;0.000;2.100;UFA;;;
Smith, Zack;OTT;Center;1.887;3.250;2.350;3.250;3.250;3.250;3.250
Oduya, Johnny;CHI;Defence;1.875;0.000;3.750;UFA;;;
Oduya, Johnny;DAL;Defence;1.875;0.000;1.875;;;;
Hendricks, Matt;EDM;Center;1.850;0.000;1.850;UFA;;;
Baertschi, Sven;VAN;Left;1.850;1.850;1.700;2.000;RFA;;
Carle, Matthew;TBL;Defence;1.833;1.833;1.833;1.833;1.833;1.833;
Letestu, Mark;EDM;Center;1.800;1.800;1.800;1.800;UFA;;
Mitchell, John;COL;Center;1.800;0.000;1.900;UFA;;;
Zaitsev, Nikita;TOR;Defence;1.775;0.000;0.925;RFA;;;
Connor, Kyle;WPG;Left;1.775;1.775;0.925;0.925;0.925;RFA;
Sergachev, Mikhail;MTL;Defence;1.775;1.775;0.925;0.925;0.925;RFA;
Welinski, Andy;ANA;Defence;1.775;1.775;0.925;0.925;RFA;;
Pokka, Ville;CHI;Defence;1.775;0.000;0.925;RFA;;;
Hanifin, Noah;CAR;Defence;1.775;1.775;0.925;0.925;RFA;;
Tkachuk, Matthew;CGY;Left;1.775;1.775;0.925;0.925;0.925;RFA;
Aho, Sebastian;CAR;Right;1.775;1.775;0.925;0.925;0.925;RFA;
Kaskisuo, Kasimir;TOR;Goaltender;1.775;1.775;0.925;0.925;RFA;;
Werenski, Zachary;CLB;Defence;1.775;1.775;0.925;0.925;0.925;RFA;
Nylander, Alexander;BUF;Left;1.775;1.775;0.925;0.925;0.925;RFA;
Moore, Trevor;TOR;Center;1.775;1.775;0.925;0.925;0.925;RFA;
Beagle, Jay;WAS;Right;1.750;1.750;1.750;1.750;UFA;;
Vermette, Antoine;ANA;Center;1.750;1.750;1.750;1.750;UFA;;
Horvat, Bo;VAN;Center;1.744;0.000;0.833;RFA;;;
Zadorov, Nikita;COL;Defence;1.744;0.000;0.833;RFA;;;
Nylander, William;TOR;Center;1.744;1.744;0.925;0.833;RFA;;
Virtanen, Jake;VAN;Right;1.744;1.744;0.925;0.833;RFA;;
Provorov, Ivan;PHI;Defence;1.744;1.744;0.925;0.925;0.833;RFA;
Marner, Mitchell;TOR;Center;1.744;1.744;0.925;0.925;0.833;RFA;
Zacha, Pavel;NJD;Center;1.744;1.744;0.925;0.925;0.833;RFA;
Wingels, Tommy;OTT;Center;1.732;0.000;2.600;UFA;;;
Nurse, Darnell;EDM;Defence;1.713;1.713;0.833;0.833;RFA;;
Fleury, Haydn;CAR;Defence;1.713;1.713;0.925;0.833;0.833;RFA;
McNabb, Brayden;LAK;Defence;1.700;1.700;1.600;1.800;UFA;;
Johnson, Chad;CGY;Goaltender;1.700;0.000;1.700;UFA;;;
Gurianov, Denis;DAL;Left;1.675;1.675;0.925;0.925;0.925;RFA;
Moore, John;NJD;Defence;1.667;1.667;1.750;1.950;UFA;;
Shattenkirk, Kevin;STL;Defence;1.657;0.000;1.657;;;;
Grabner, Michael;NYR;Right;1.650;1.650;1.650;1.650;UFA;;
Holden, Nick;NYR;Defence;1.650;1.650;1.650;1.800;UFA;;
Meier, Timo;SJS;Right;1.644;1.644;0.925;0.925;0.833;RFA;
Brown, Logan;OTT;Center;1.635;1.635;0.925;0.925;0.925;RFA;
Ritchie, Nick;ANA;Left;1.627;1.627;0.925;0.833;RFA;;
Rantanen, Mikko;COL;Right;1.627;1.627;0.925;0.925;0.833;RFA;
Karlsson, Melker;SJS;Center;1.625;0.000;1.800;RFA;;;
Neuvirth, Michal;PHI;Goaltender;1.625;1.625;1.750;2.500;2.500;UFA;
Crouse, Lawson;ARI;Left;1.603;1.603;0.925;0.925;0.833;RFA;
Umberger, R.J.;PHI;Center;1.600;1.600;1.600;1.500;;;
Purcell, Teddy;LAK;Right;1.600;0.000;1.600;UFA;;;
Thompson, Nate;ANA;Center;1.600;0.000;1.700;UFA;;;
Clifford, Kyle;LAK;Left;1.600;1.600;1.250;1.700;1.800;1.900;UFA
McCabe, Jake;BUF;Defence;1.600;1.600;1.250;1.775;1.775;RFA;
Purcell, Teddy;LAK;Right;1.600;0.000;1.600;UFA;;;
Ehlers, Nikolaj;WPG;Left;1.594;1.594;0.925;0.833;RFA;;
Gelinas, Eric;COL;Defence;1.575;0.000;1.650;RFA;;;
Prout, Dalton;CLB;Defence;1.575;1.575;1.250;1.900;UFA;;
Gelinas, Eric;COL;Defence;1.575;0.000;1.650;RFA;;;
Prout, Dalton;NJD;Defence;1.575;1.575;1.250;1.900;UFA;;
Richards, Mike;LAK;Center;1.570;1.570;1.570;1.570;1.570;1.570;0.700
Hanzal, Martin;ARI;Center;1.550;0.000;1.550;;;;
Kuemper, Darcy;MIN;Goaltender;1.550;0.000;1.550;UFA;;;
Markstrom, Jacob;VAN;Goaltender;1.550;3.667;1.600;3.400;3.600;4.000;UFA
Burmistrov, Alex;ARI;Center;1.550;0.000;1.600;RFA;;;
Hanzal, Martin;MIN;Center;1.550;0.000;3.500;UFA;;;
Burmistrov, Alex;WPG;Center;1.550;0.000;1.600;RFA;;;
Schmaltz, Nick;CHI;Center;1.542;1.542;0.925;0.925;0.925;RFA;
Slepyshev, Anton;EDM;Left;1.525;1.525;0.925;0.925;RFA;;
Neil, Chris;OTT;Right;1.500;0.000;1.500;UFA;;;
Campbell, Gregory;CLB;Center;1.500;0.000;1.700;UFA;;;
Greiss, Thomas;NYI;Goaltender;1.500;3.333;2.000;3.000;3.250;3.750;UFA
McCormick, Cody;BUF;Center;1.500;0.000;1.000;UFA;;;
Vanek, Thomas;MIN;Left;1.500;1.500;1.500;2.500;;;
Stalberg, Viktor;CAR;Left;1.500;0.000;1.500;UFA;;;
Kassian, Zack;EDM;Right;1.500;0.000;1.500;RFA;;;
Maroon, Patrick;EDM;Left;1.500;1.500;2.000;2.100;UFA;;
Stalberg, Viktor;OTT;Left;1.500;0.000;1.500;UFA;;;
Jankowski, Mark;CGY;Center;1.494;1.494;0.925;0.925;RFA;;
Vasilevskiy, Andrei;TBL;Goaltender;1.475;3.500;0.925;3.000;3.500;4.000;RFA
Subban, Malcolm;BOS;Goaltender;1.463;0.000;0.833;RFA;;;
Sustr, Andrej;TBL;Defence;1.450;0.000;1.600;RFA;;;
Berra, Reto;FLA;Goaltender;1.450;0.000;1.500;UFA;;;
Glass, Tanner;NYR;Left;1.450;0.000;1.000;UFA;;;
Marchenko, Alexey;DET;Defence;1.450;1.450;1.300;1.600;RFA;;
Marchenko, Alexey;TOR;Defence;1.450;1.450;1.300;1.600;UFA;;
Berra, Reto;FLA;Goaltender;1.450;0.000;1.500;UFA;;;
Glass, Tanner;NYR;Left;1.450;0.000;1.000;UFA;;;
Ribeiro, Mike;ARI;Center;1.444;1.444;1.444;1.944;1.944;1.944;
Koekkoek, Slater;TBL;Defence;1.444;0.000;0.833;RFA;;;
Davidson, Brandon;EDM;Defence;1.425;1.425;1.300;1.550;RFA;;
Bean, Jake;CAR;Defence;1.425;1.425;0.925;0.925;0.925;RFA;
Larkin, Dylan;DET;Center;1.425;1.425;0.925;0.925;RFA;;
McLeod, Michael;NJD;Center;1.425;1.425;0.925;0.925;0.925;RFA;
Davidson, Brandon;MTL;Defence;1.425;1.425;1.300;1.550;RFA;;
Gostisbehere, Shayne;PHI;Defence;1.421;0.000;0.925;RFA;;;
15/16 Cap Overage;FLA;Left;1.420;0.000;1.420;;;;
Hainsey, Ron;CAR;Defence;1.417;0.000;1.417;;;;
Hainsey, Ron;PIT;Defence;1.417;0.000;2.500;UFA;;;
Gilbert, Tom;LAK;Defence;1.400;0.000;1.400;UFA;;;
Wennberg, Alexander;CLB;Center;1.400;0.000;0.925;RFA;;;
Pearson, Tanner;LAK;Left;1.400;0.000;1.550;RFA;;;
Gilbert, Tom;LAK;Defence;1.400;0.000;1.400;UFA;;;
Schultz, Justin;PIT;Defence;1.400;0.000;1.400;RFA;;;
Pulock, Ryan;NYI;Defence;1.363;1.363;0.833;0.833;RFA;;
Domi, Max;ARI;Center;1.363;1.363;0.833;0.833;RFA;;
Morrissey, Joshua;WPG;Defence;1.363;1.363;0.833;0.833;RFA;;
Honka, Julius;DAL;Defence;1.363;1.363;0.925;0.833;0.833;RFA;
Vrana, Jakub;WAS;Left;1.363;1.363;0.925;0.833;0.833;RFA;
Fiala, Kevin;NAS;Left;1.363;1.363;0.925;0.833;0.833;RFA;
Perlini, Brendan;ARI;Left;1.363;1.363;0.925;0.833;0.833;RFA;
Morin, Samuel;PHI;Defence;1.363;1.363;0.833;0.833;RFA;;
Caggiula, Drake;EDM;Left;1.350;1.350;0.925;0.925;RFA;;
Tuch, Alex;MIN;Right;1.350;1.350;0.925;0.925;0.925;RFA;
Hammond, Andrew;OTT;Goaltender;1.350;1.350;1.350;1.500;UFA;;
Hammond, Andrew;OTT;Goaltender;1.350;1.350;1.350;1.500;UFA;;
O'Connor, Matthew;OTT;Goaltender;1.350;0.000;0.925;RFA;;;
Sorensen, Marcus;SJS;Left;1.350;0.000;0.925;RFA;;;
Armalis, Mantas;SJS;Goaltender;1.350;0.000;0.925;RFA;;;
Fasching, Hudson;BUF;Right;1.350;1.350;0.925;0.925;RFA;;
Chychrun, Jakob;ARI;Defence;1.350;1.350;0.925;0.925;0.925;RFA;
Teravainen, Teuvo;CAR;Center;1.344;0.000;0.833;RFA;;;
Faksa, Radek;DAL;Center;1.338;0.000;0.833;RFA;;;
McLeod, Cody;COL;Left;1.333;1.333;1.250;1.250;UFA;;
McLeod, Cody;NAS;Left;1.333;1.333;1.250;1.250;UFA;;
Gleason, Tim;TOR;Defence;1.333;1.333;1.333;1.333;;;
Parenteau, P.A.;MTL;Left;1.333;0.000;1.333;;;;
DeBrusk, Jake;BOS;Left;1.319;1.319;0.925;0.925;0.833;RFA;
Mueller, Mirco;SJS;Defence;1.319;0.000;0.833;RFA;;;
Senyshyn, Zachary;BOS;Right;1.319;1.319;0.925;0.925;0.833;RFA;
Zboril, Jakub;BOS;Defence;1.319;1.319;0.925;0.925;0.833;RFA;
MacKenzie, Derek;FLA;Center;1.300;1.375;1.300;1.650;1.100;UFA;
Grigorenko, Mikhail;COL;Center;1.300;0.000;1.300;RFA;;;
Holland, Peter;TOR;Center;1.300;0.000;1.300;RFA;;;
Smith-Pelly, Devante;NJD;Right;1.300;1.300;1.250;1.350;RFA;;
Holland, Peter;ARI;Center;1.300;0.000;1.300;RFA;;;
Vanek, Thomas;FLA;Left;1.300;0.000;2.600;UFA;;;
Vanek, Thomas;DET;Left;1.300;0.000;1.300;;;;
Sanheim, Travis;PHI;Defence;1.294;1.294;0.925;0.925;0.833;RFA;
Barzal, Mathew;NYI;Center;1.294;1.294;0.925;0.925;0.833;RFA;
Pouliot, Derrick;PIT;Defence;1.288;0.000;0.833;RFA;;;
Nordstrom, Joakim;CAR;Center;1.275;1.275;1.250;1.300;RFA;;
Milano, Sonny;CLB;Left;1.263;1.263;0.925;0.833;0.833;RFA;
DeAngelo, Anthony;ARI;Defence;1.263;1.263;0.925;0.833;0.833;RFA;
Lazar, Curtis;OTT;Center;1.254;0.000;0.833;RFA;;;
Chabot, Thomas;OTT;Defence;1.254;1.254;0.925;0.925;0.833;RFA;
Lazar, Curtis;CGY;Center;1.254;0.000;0.833;RFA;;;
Marincin, Martin;TOR;Defence;1.250;1.250;1.200;1.300;RFA;;
Fiddler, Vernon;NJD;Center;1.250;0.000;1.250;UFA;;;
Condra, Erik;TBL;Right;1.250;1.250;1.250;1.500;UFA;;
Condra, Erik;TBL;Right;1.250;1.250;1.250;1.500;UFA;;
Quincey, Kyle;NJD;Defence;1.250;0.000;1.250;UFA;;;
Bollig, Brandon;CGY;Left;1.250;0.000;1.300;UFA;;;
Brown, J.T.;TBL;Right;1.250;1.250;1.250;1.250;UFA;;
Vermette, Antoine;ARI;Center;1.250;1.250;1.250;1.250;;;
Bollig, Brandon;CGY;Left;1.250;0.000;1.300;UFA;;;
Schenn, Luke;ARI;Defence;1.250;1.250;1.000;1.500;UFA;;
Fiddler, Vernon;NAS;Center;1.250;0.000;1.250;UFA;;;
Parenteau, P.A.;NJD;Left;1.250;0.000;1.250;UFA;;;
Quincey, Kyle;CLB;Defence;1.250;0.000;1.250;UFA;;;
Parenteau, P.A.;NAS;Left;1.250;0.000;1.250;UFA;;;
Gauthier, Julien;CAR;Right;1.225;1.225;0.925;0.925;0.925;RFA;
Rychel, Kerby;TOR;Left;1.213;1.213;0.833;0.833;RFA;;
Schmaltz, Jordan;STL;Defence;1.208;1.208;0.925;0.925;RFA;;
Tyutin, Fedor;CLB;Defence;1.208;1.208;1.208;1.958;1.458;1.458;
Thorburn, Chris;WPG;Center;1.200;0.000;1.200;UFA;;;
Hunwick, Matt;TOR;Defence;1.200;0.000;1.200;UFA;;;
McClement, Jay;CAR;Center;1.200;0.000;1.100;UFA;;;
Mitchell, Torrey;MTL;Center;1.200;1.200;1.300;1.300;UFA;;
Khudobin, Anton;BOS;Goaltender;1.200;1.200;1.200;1.200;UFA;;
Khudobin, Anton;BOS;Goaltender;1.200;1.200;1.200;1.200;UFA;;
Kessel, Phil;TOR;Right;1.200;1.200;1.200;1.200;1.200;1.200;1.200
Bishop, Ben;TBL;Goaltender;1.190;0.000;1.190;;;;
Byron, Paul;MTL;Center;1.167;1.167;1.300;1.200;1.000;UFA;
Seidenberg, Dennis;BOS;Defence;1.167;1.167;1.167;2.167;1.167;1.167;
Hutchinson, Michael;WPG;Goaltender;1.150;1.150;1.000;1.300;UFA;;
Girgensons, Zemgus;BUF;Center;1.150;0.000;1.150;RFA;;;
Stewart, Chris;MIN;Right;1.150;1.150;1.200;1.100;UFA;;
Stanley, Logan;WPG;Defence;1.137;1.137;0.925;0.925;0.925;RFA;
Merrill, Jon;NJD;Defence;1.137;1.137;1.000;1.275;RFA;;
Donskoi, Joonas;SJS;Right;1.137;0.000;0.925;RFA;;;
Kempny, Michal;CHI;Defence;1.137;0.000;0.700;RFA;;;
Roslovic, Jack;WPG;Center;1.137;1.137;0.925;0.925;0.925;RFA;
Pysyk, Mark;FLA;Defence;1.125;0.000;1.250;RFA;;;
Reaves, Ryan;STL;Right;1.125;1.125;1.125;1.125;UFA;;
Hutton, Carter;STL;Goaltender;1.125;1.125;1.250;1.000;UFA;;
Lowry, Adam;WPG;Left;1.125;1.125;1.000;1.250;RFA;;
Scuderi, Rob;CHI;Defence;1.125;0.000;1.125;;;;
Scuderi, Rob;PIT;Defence;1.125;0.000;1.125;;;;
Scuderi, Rob;LAK;Defence;1.125;0.000;2.500;UFA;;;
Gilbert, Tom;WAS;Defence;1.120;0.000;1.400;UFA;;;
Gilbert, Tom;WAS;Defence;1.120;0.000;1.400;UFA;;;
Vitale, Joe;DET;Center;1.117;0.000;1.300;UFA;;;
Beauvillier, Anthony;NYI;Left;1.107;1.107;0.925;0.925;0.833;RFA;
Fischer, Christian;ARI;Right;1.107;1.107;0.818;0.907;0.833;RFA;
Samuelsson, Henrik;EDM;Center;1.107;0.000;0.833;RFA;;;
McCann, Jared;FLA;Center;1.107;1.107;0.925;0.833;RFA;;
Fabbri, Robby;STL;Center;1.107;1.107;0.925;0.833;RFA;;
Konecny, Travis;PHI;Center;1.107;1.107;0.925;0.925;0.833;RFA;
Eriksson Ek, Joel;MIN;Center;1.107;1.107;0.925;0.925;0.833;RFA;
Merkley, Nicholas;ARI;Center;1.107;1.107;0.925;0.925;0.833;RFA;
